Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1289,The Golden Compass,All,2007,Action-Adventure,Sega  ,Shiny Entertainment  ,,,,,,,
1290,The Gunk,PC,2021,Action-Adventure,Thunderful Publishing AB  ,Image & Form Games  ,,,,,,,
1291,The Gunk,XOne,2021,Action-Adventure,Thunderful Publishing AB  ,Image & Form Games  ,,,,,,,
1292,The Gunk,XS,2021,Action-Adventure,Thunderful Publishing AB  ,Image & Form Games  ,,,,,,,
1293,The Last of Us: Left Behind,PS4,2015,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,
1294,The Last of Us: Left Behind,PS3,2015,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,,,,,,,
1295,The Legend of Zelda: Breath of the Wild 2,NS,2020,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
1296,The Legend of Zelda: Majora's Mask,WiiU,N/A,Action-Adventure,Unknown  ,Nintendo  ,,,,,,,
1297,The Legend of Zelda: Skyward Sword HD,NS,2021,Action-Adventure,Nintendo  ,Nintendo  ,,9.0,,,,,
1298,The Lord of the Rings: Gollum,PC,2021,Action-Adventure,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,,,,
1299,The Lord of the Rings: Gollum,PS5,2021,Action-Adventure,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,,,,
1300,The Lord of the Rings: Gollum,XS,2021,Action-Adventure,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,,,,
1301,The Outlast Trials,PC,N/A,Action-Adventure,Unknown  ,Red Barrels  ,,,,,,,
1302,The Persistence,PC,2020,Action-Adventure,Perp Games  ,Firesprite  ,,,,,,,
1303,The Persistence,XOne,2020,Action-Adventure,Perp Games  ,Firesprite  ,,,,,,,
