Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
672,Zoo Tycoon: Complete Collection,PC,2003,Strategy,Microsoft Game Studios  ,Blue Fang Games  ,,6.0,0.03,0.02,,0.01,0.06
673,Men of War: Assault Squad,PC,2011,Strategy,1C Company  ,Digitalmindsoft  ,8.0,,0.01,0.04,,0.01,0.06
674,Syndicate,PC,1993,Strategy,Electronic Arts  ,Bullfrog Productions  ,,,0.0,0.05,,0.01,0.06
675,Nobunaga's Ambition: Sphere of Influence,PSV,2014,Strategy,Tecmo Koei  ,Koei  ,,,,,0.06,,0.06
676,SD Gundam G Generation Wars,Wii,2009,Strategy,Bandai  ,Tom Create  ,,,,,0.06,,0.06
677,Zoo Tycoon 2,PC,2004,Strategy,Microsoft Game Studios  ,Blue Fang Games  ,7.2,,,0.05,,0.01,0.06
678,Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios  ,Ensemble Studios  ,8.2,,0.03,0.02,,0.01,0.06
679,Aven Colony,PS4,2017,Strategy,Sold Out  ,Mothership Entertainment  ,,,0.04,0.01,,0.01,0.06
680,Nobunaga?s Ambition: Sphere of Influence ? Ascension,PSV,2016,Strategy,Tecmo Koei  ,Koei Tecmo Games  ,,,,,0.06,,0.06
681,A-Train 6,PS2,2004,Strategy,Midas Interactive Entertainment  ,ArtDink  ,,,,,0.06,,0.06
